Sample Name,COSMIC identifier,MSI
LC-1-sq,1298223,MSS/MSI-L
LK-2,687787,MSS/MSI-L
LOU-NH91,1298226,MSS/MSI-L
NCI-H1869,1240183,MSS/MSI-L
NCI-H2170,687815,MSS/MSI-L
NCI-H226,905941,MSS/MSI-L
NCI-H520,908443,MSS/MSI-L
RERF-LC-Sq1,1298538,MSS/MSI-L
SK-MES-1,909728,MSS/MSI-L
SW900,724879,MSS/MSI-L
COR-L321,1322213,MSS/MSI-L
COLO-668,910692,MSS/MSI-L
COR-L279,910937,MSS/MSI-L
COR-L303,1297438,MSS/MSI-L
COR-L311,687980,MSS/MSI-L
COR-L32,1322212,MSS/MSI-L
COR-L88,906808,MSS/MSI-L
CPC-N,753547,MSS/MSI-L
DMS-114,687983,MSS/MSI-L
DMS-273,687985,MSS/MSI-L
DMS-53,907295,MSS/MSI-L
IST-SL1,753564,MSS/MSI-L
IST-SL2,753565,MSS/MSI-L
LB647-SCLC,753582,MSS/MSI-L
LU-134-A,753588,MSS/MSI-L
LU-135,713899,MSS/MSI-L
LU-139,713878,MSS/MSI-L
LU-165,753589,MSS/MSI-L
MS-1,753594,MSS/MSI-L
NCI-H1048,687995,MSI-H
NCI-H1092,687997,MSS/MSI-L
NCI-H1105,908468,MSS/MSI-L
NCI-H1341,1330964,MSS/MSI-L
NCI-H1417,688001,MSS/MSI-L
NCI-H1436,908469,MSS/MSI-L
NCI-H146,910899,MSS/MSI-L
NCI-H1688,1298349,MSS/MSI-L
NCI-H1694,688006,MSS/MSI-L
NCI-H1836,1240182,MSS/MSI-L
NCI-H187,688007,MSS/MSI-L
NCI-H1876,1330972,MSS/MSI-L
NCI-H196,1240186,MSS/MSI-L
NCI-H1963,688010,MSS/MSI-L
NCI-H2029,688011,MSS/MSI-L
NCI-H2066,1330973,MSS/MSI-L
NCI-H209,688013,MSS/MSI-L
NCI-H211,1240189,MSS/MSI-L
NCI-H2141,688014,MSS/MSI-L
NCI-H2196,908481,MSS/MSI-L
NCI-H2227,688018,MSS/MSI-L
NCI-H250,924241,MSS/MSI-L
NCI-H345,688021,MSS/MSI-L
NCI-H378,688022,MSS/MSI-L
NCI-H446,688023,MSS/MSI-L
NCI-H510A,753605,MSS/MSI-L
NCI-H524,908483,MSS/MSI-L
NCI-H526,688025,MSS/MSI-L
NCI-H64,688026,MSS/MSI-L
NCI-H69,688027,MSS/MSI-L
NCI-H748,909194,MSS/MSI-L
NCI-H82,688031,MSS/MSI-L
NCI-H841,1240192,MSS/MSI-L
NCI-H847,1240193,MSS/MSI-L
SBC-1,713885,MSS/MSI-L
SBC-3,753610,MSS/MSI-L
SBC-5,713880,MSS/MSI-L
H2369,1290808,MSS/MSI-L
H2373,1290809,MSS/MSI-L
H2461,1290810,MSS/MSI-L
H2591,1240131,MSS/MSI-L
H2595,1240132,MSS/MSI-L
H2722,1290812,MSS/MSI-L
H2731,1240134,MSS/MSI-L
H2795,1290813,MSS/MSI-L
H2803,1240135,MSS/MSI-L
H2804,1240136,MSS/MSI-L
H2810,1240137,MSS/MSI-L
H2818,1290814,MSS/MSI-L
H2869,1240138,MSS/MSI-L
H290,1240139,MSS/MSI-L
H513,1240141,MSS/MSI-L
IST-MES1,907173,MSS/MSI-L
MPP-89,908150,MSS/MSI-L
MSTO-211H,908152,MSS/MSI-L
NCI-H2052,688058,MSS/MSI-L
NCI-H2452,908462,MSS/MSI-L
NCI-H28,908470,MSS/MSI-L
42-MG-BA,687561,MSS/MSI-L
8-MG-BA,687562,MSS/MSI-L
A172,687563,MSS/MSI-L
AM-38,910933,MSS/MSI-L
Becker,906746,MSS/MSI-L
CAS-1,910943,MSS/MSI-L
CCF-STTG1,906823,MSS/MSI-L
D-247MG,946367,MSS/MSI-L
D-263MG,946368,MSS/MSI-L
D-336MG,946369,MSS/MSI-L
D-392MG,946370,MSS/MSI-L
D-502MG,946373,MSS/MSI-L
D-542MG,753549,MSS/MSI-L
D-566MG,946377,MSS/MSI-L
DBTRG-05MG,906835,MSS/MSI-L
DK-MG,906839,MSS/MSI-L
GAMG,906868,MSS/MSI-L
GB-1,687568,MSS/MSI-L
GI-1,906871,MSS/MSI-L
GMS-10,906873,MSS/MSI-L
H4,907042,MSS/MSI-L
Hs683,1240150,MSS/MSI-L
KALS-1,907271,MSS/MSI-L
KINGS-1,907279,MSS/MSI-L
KNS-42,907282,MSS/MSI-L
KNS-81-FD,924188,MSS/MSI-L
KS-1,907313,MSS/MSI-L
LN-18,1240168,MSS/MSI-L
LN-229,1240169,MSS/MSI-L
LN-405,910694,MSS/MSI-L
LNZTA3WT4,1240170,MSS/MSI-L
M059J,949094,MSS/MSI-L
MOG-G-CCM,908144,MSS/MSI-L
MOG-G-UVW,908145,MSS/MSI-L
NMC-G1,908449,MSS/MSI-L
no-10,908452,MSS/MSI-L
no-11,908450,MSS/MSI-L
SF126,909712,MSS/MSI-L
SF268,905986,MSS/MSI-L
SF295,905985,MSS/MSI-L
SF539,905984,MSS/MSI-L
SK-MG-1,909729,MSS/MSI-L
SNB75,905982,MSS/MSI-L
SW1088,909745,MSS/MSI-L
SW1783,909750,MSS/MSI-L
T98G,687586,MSS/MSI-L
U-118-MG,687588,MSS/MSI-L
U251,905983,MSS/MSI-L
U-87-MG,687590,MSS/MSI-L
YH-13,909905,MSS/MSI-L
YKG-1,687592,MSS/MSI-L
D-283MED,906834,MSS/MSI-L
Daoy,906833,MSS/MSI-L
ONS-76,909248,MSS/MSI-L
PFSK-1,683667,MSS/MSI-L
BE2-M17,753616,MSS/MSI-L
CHP-126,910567,MSS/MSI-L
CHP-134,910941,MSS/MSI-L
CHP-212,906820,MSS/MSI-L
GI-ME-N,906872,MSS/MSI-L
GOTO,906875,MSS/MSI-L
IMR-5,907170,MSS/MSI-L
KELLY,753618,MSS/MSI-L
KP-N-YN,907314,MSS/MSI-L
LAN-6,949170,MSS/MSI-L
MHH-NB-11,908135,MSS/MSI-L
NB(TU)1-10,1240181,MSS/MSI-L
NB1,949179,MSS/MSI-L
NB10,949171,MSS/MSI-L
NB12,949172,MSS/MSI-L
NB13,949177,MSS/MSI-L
NB14,949178,MSS/MSI-L
NB17,949175,MSS/MSI-L
NB5,949176,MSS/MSI-L
NB6,949173,MSS/MSI-L
NB69,908440,MSS/MSI-L
NB7,949174,MSS/MSI-L
NH-12,908447,MSS/MSI-L
SIMA,753620,MSS/MSI-L
SK-N-AS,724828,MSS/MSI-L
SK-N-DZ,688086,MSS/MSI-L
SK-N-FI,688087,MSS/MSI-L
SK-N-SH,717431,MSS/MSI-L
TGW,910780,MSS/MSI-L
AsPC-1,910702,MSS/MSI-L
BxPC-3,906693,MSS/MSI-L
CAPAN-1,753624,MSS/MSI-L
Capan-2,910915,MSS/MSI-L
CFPAC-1,906821,MSS/MSI-L
